,text,language,detected_language
2682,Down at heel,English,en
2683,Vorsprung Durch Technik,English,de
2684,Put a damper on,English,en
2685,Pass over to the other side,English,en
2686,Clue - don't have a,English,en
2687,Wee-wee,English,en
2688,Die halter afhaal.,Afrikaans,af
2689,Shilly-shally,English,en
2690,I spy with my little eye,English,en
2691,Up the pole,English,en
2692,Paddle your own canoe,English,en
2693,Gordon Bennett,English,en
2694,Iemand dwarsdeur kyk.,Afrikaans,af
2695,Geleentheid maak die dief.,Afrikaans,af
2696,Zig-zag,English,en
2697,By your leave,English,en
2698,Fingers and thumbs,English,en
2699,Nest of vipers - A,English,en
2700,Stinking rich,English,en
2701,You look as if you've been dragged through a hedge backwards,English,en
2702,Good measure - For,English,en
2703,Bite the dust,English,en
2704,Beggar belief,English,en
2705,Big wig,English,en
2706,La-la land,English,en
2707,Like a chicken with its head cut off,English,en
2708,Ek gaan bietjie by haar afsaal.,Afrikaans,af
2709,Go postal,English,en
2710,High and mighty,English,en
2711,Die geheim om te verveel is om alles te vertel.,Afrikaans,nl
2712,“Help vir Henna en troos vir Koos.”,Afrikaans,af
2713,The pot calling the kettle black,English,en
2714,Hot on the heels,English,en
2715,Teenspoed is deel van die lewe.,Afrikaans,af
2716,Ups-a-daisy,English,en
2717,Prime time,English,en
2718,Wees dankbaar as jou kinders dik snye brood vra – meel is goedkoper as medisyne.,Afrikaans,af
2719,Ps and Qs - Mind your,English,en
2720,Indian giver,English,en
2721,"Tussen die bye, maar nog nie by die koekie nie.",Afrikaans,af
2722,Mend fences,English,en
2723,Die sweep swiep deur die lug.,Afrikaans,af
2724,The triumph of hope over experience,English,en
2725,Big Easy - The,English,en
2726,Knee-jerk reaction,English,en
2727,Iemand afpoeier.,Afrikaans,nl
2728,Might and main,English,en
2729,Hugger-mugger,English,en
2730,Cheap at half the price,English,en
2731,A pig in a poke,English,en
2732,A priori,English,fr
2733,Driving while black,English,en
2734,Rough diamond,English,en
2735,Sir Walter Scott (phrases coined by),English,en
2736,It ain't over till the fat lady sings,English,en
2737,Best bib and tucker,English,en
2738,Moenie al jou geld op een perd sit nie.,Afrikaans,af
2739,Your money or your life,English,en
2740,The powers that be,English,en
2741,’n Dronk man val nie ver van die bar nie.,Afrikaans,af
2742,Power dressing,English,en
2743,Laat ek vir jou vertel wat vis innie Kaap kos.,Afrikaans,af
2744,Life's too short,English,en
2745,"Toe ek begin werk het, wou ek ‘n groot klomp geld gou maak. Later wou ek’n groot klomp geld maak terwyl ek dit geniet, maar later sien ek wat jy werklik wil hê, is om ‘n klein verskil te maak. As jy dit kan doen, kom ander dinge vanself en kan jy dit terdeë geniet.",Afrikaans,af
2746,No truck with,English,en
2747,Codswallop - a load of,English,en
2748,"Toe maar, môre bak ma koekies.",Afrikaans,af
2749,A diamond in the rough,English,en
2750,Rabbit and pork,English,en
2751,Kleine potjes hebben grote oren.,Nederlands,nl
2752,Whole kit and caboodle - The,English,en
2753,Beyond belief,English,en
2754,Square meal,English,en
2755,Een hoofd vol kreuken – een geweten sonder rimpel.,Afrikaans,nl
2756,The exception which proves the rule,English,en
2757,Gooi weg die blink horlosies – werk van son-op tot son-onder EN die plaas is JOU Baas – nie jy nie.,Afrikaans,af
2758,Bitter in die mond maak die hart gesond.,Afrikaans,af
2759,"Sy is so klein, sy verdwaal in ‘n telefoonhokkie.",Afrikaans,af
2760,Under the thumb,English,en
2761,Johann Nell: “Dit is baie beter om te huil in ‘n luukse BMW as op ‘n tweewielfiets en dit is nog beter om jou trane te laat val van ‘n drieverdieping mansion as wat dit op jou kaia se grondvloer val.”,Afrikaans,nl
2762,Swing for you,English,en
2763,Cute as a bug's ear,English,en
2764,Champ at the bit,English,en
2765,Friday afternoon car,English,en
2766,Godfrey Daniel,English,en
2767,Vir jou het ek sien aankom.,Afrikaans,af
2768,Mal de mer,English,es
2769,Arende vang nie vlieë nie.,Afrikaans,af
2770,Skin and blister,English,en
2771,There's no such thing as bad publicity,English,en
2772,Piss and vinegar - Full of,English,en
2773,"Sy is so vet, as sy by die trein uitklim kan almal asem haal.",Afrikaans,af
2774,The blind leading the blind,English,en
2775,Fifth column,English,en
2776,Schijn bedriegt.,Nederlands,nl
2777,In the catbird seat,English,en
2778,How sharper than a serpent's tooth it is to have a thankless child,English,en
2779,"As jy aas roer, stink dit.",Afrikaans,af
2780,Cold turkey,English,en
2781,Dis ‘n goeie boeregewoonte: ‘n Mens kom nooit met leë hande by iemand aan nie…en jy stuur hom ook nie met leë hande weg nie!,Afrikaans,af
2782,Hard and fast,English,en
2783,Silver bullet,English,en
2784,Tanstaafl - (there's no such thing as a free lunch),English,en
2785,Happy as a sandboy,English,en
2786,Die geel baadjie aan hê.,Afrikaans,af
2787,To the nth degree,English,en
2788,Talk through one's hat,English,en
2789,Fobbed off,English,en
2790,Agter geld soos die duiwel agter ‘n siel aan.,Afrikaans,af
2791,Die berg het 'n muis gebaar.,Afrikaans,nl
2792,Bet your bottom dollar,English,en
2793,You are what you eat,English,en
2794,Pell-mell,English,es
2795,The whole kit and caboodle,English,en
2796,"Begeer nie om ‘n man van belang te wees nie, maar ‘n man van waarde.",Afrikaans,af
2797,Iets is beter dan niets.,Nederlands,nl
2798,Walk the plank,English,en
2799,Foot in the door - A,English,en
2800,A turn up for the books,English,en
2801,Okey-dokey,English,en
2803,In your face,English,en
2804,Dit kos ‘n plaas se geld.,Afrikaans,af
2805,Rank and file,English,en
2806,Stony-hearted,English,en
2807,Designer stubble,English,en
2808,Fool and his money are soon parted - A,English,en
2809,Pull out all the stops,English,en
2810,Bottom-up,English,en
2811,Rise and shine,English,en
2812,As different as chalk and cheese,English,en
2814,Pony up,English,en
2815,Praying at the porcelain altar,English,en
2816,Get thee behind me Satan,English,en
2817,"Wat regtig saak maak, is wat jy leer terwyl jy reeds alles weet.",Afrikaans,af
2818,Duvet day,English,en
2819,Bury your head in the sand,English,en
2820,Hit the nail on the head,English,en
2821,Vergelyk eers wat jy het met wat jy nie het nie – dan kan jy waardeer wat jy nie het nie en liefkry wat jy het.,Afrikaans,af
2822,A feather in one's cap,English,en
2823,Delusions of grandeur,English,en
2824,Devil to pay - The,English,en
2825,Wat is die belangrikste – geluk of sukses?,Afrikaans,af
2826,"Waar rook is, is vuur.",Nederlands,nl
2827,"If it ain't broke, don't fix it",English,en
2828,For keeps,English,en
2829,Golden key can open any door - A,English,en
2830,Knock back,English,en
2831,Tit for tat,English,en
2832,Die boer se voetspore is die beste misstof op die land.,Afrikaans,af
2833,Swing the lead,English,en
2834,Daar’s ‘n geurtjie aan.,Afrikaans,af
2835,Men's evil manners live in brass; their virtues we write in water,English,en
2836,Go-faster,English,en
2837,Red tape,English,en
2838,In a pickle,English,en
